name,summary
Barbara_Pompili,"Barbara Pompili, née le 13 juin 1975 à Bois-Bernard (Pas-de-Calais), est une femme politique française."
Antoine_Pellion,"Antoine Pellion, né le 26 octobre 1983 à Nogent-le-Rotrou (Eure-et-Loir), est un haut fonctionnaire français."
Laurence_Boone,"Laurence Boone, née le 15 mai 1969 à Boulogne-Billancourt, est une femme politique et économiste française spécialisée en macroéconomie, en politique européenne et en finances publiques."
Françoise_Nyssen,"Françoise Nyssen, née le 9 juin 1951 à Etterbeek (Belgique), est une éditrice et femme politique belgo-française."
Jean-Pierre_Jouyet,"Jean-Pierre Jouyet, né le 13 février 1954 à Montreuil, est un haut fonctionnaire, lobbyiste et homme politique français. Il a notamment été secrétaire d'État aux Affaires européennes du gouvernement de François Fillon entre 2007 et 2008 et collaborateur de François Hollande en tant que secrétaire général de la présidence de la République entre 2014 et 2017."
Laura_Flessel,"Laura Flessel-Colovic, née le 6 novembre 1971 à Pointe-à-Pitre (Guadeloupe), est une escrimeuse et femme politique française. Spécialiste de l'épée, elle est quintuple médaillée olympique."
Carole_Grandjean,"Carole Grandjean, née le 18 mai 1983 à Suresnes (Hauts-de-Seine), est une femme politique française."
Gil_Avérous,"Gil Avérous, né le 12 juillet 1973 à Issoudun (Indre), est un homme politique français, ministre des Sports, de la Jeunesse et de la Vie associative dans le gouvernement Barnier à partir du 21 septembre 2024. Il est remplacé le 23 décembre 2024 par Marie Barsacq dans le gouvernement Bayrou."
Michel_Sapin,"Michel Sapin, né le 9 avril 1952 à Boulogne-Billancourt (Seine), est un haut fonctionnaire et homme politique français."
Olivier_Dussopt,"Olivier Dussopt, né le 16 août 1978 à Annonay (Ardèche), est un homme politique français."
Jean-Noël_Barrot,"Jean-Noël Barrot est un économiste et homme politique franco-suisse, né le 13 mai 1983 dans le 7e arrondissement de Paris."
Simon_Bernard,"Le général-baron Simon Bernard, né le 28 avril 1779 à Dole (Jura) et mort le 5 novembre 1839 à Paris (Seine), est un général et homme politique français de la Révolution et de l’Empire."
Hervé_Berville,"Hervé Berville, né le 15 janvier 1990 à Madanzh-Buhimga (Rwanda), est un homme politique français."
Olivier_Véran,"Olivier Véran, né le 22 avril 1980 à Saint-Martin-d'Hères (Isère), est un médecin neurologue et homme politique français."
Christophe_Béchu,"Christophe Béchu, né le 11 juin 1974 à Angers (Maine-et-Loire), est un homme politique français."
Christopher_Weissberg,"Christopher Weissberg, né le 26 novembre 1985 à Neuilly-sur-Seine, est un homme politique français. Élu suppléant de Roland Lescure lors des élections législatives de 2022, il devient député de la première circonscription des Français de l'étranger le 5 août 2022."
Abel,"Abel est un personnage de la Genèse, et du Coran. Il est le deuxième fils d'Adam et Ève. Son frère aîné, Caïn, le tue par envie car Dieu a préféré l'offrande de son cadet à la sienne."
Sonia_Backès,"Sonia Backès, née Dos Santos le 21 mai 1976 à Nouméa (Nouvelle-Calédonie), est une femme politique et syndicaliste française. Membre du gouvernement de la Nouvelle-Calédonie de 2009 à 2015, elle est par la suite secrétaire d'État chargée de la Citoyenneté à Paris de 2022 à 2023."
Frédéric_Mion,"Frédéric Mion, né le 30 août 1969 à Montpellier, est un haut fonctionnaire français, directeur de l'Institut d'études politiques de Paris de 2013 à 2021. Éclaboussé par l'affaire Duhamel, il est contraint à la démission en février 2021."
Catherine_Guillouard,"Catherine Guillouard, née le 23 janvier 1965 à Cannes, est une dirigeante d'entreprise française."
